latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
51.100006,3.699997,13.0,0,GMT,GMT

time,temperature_2m (°C),apparent_temperature (°C),precipitation (mm),cloud_cover (%),cloud_cover_low (%),cloud_cover_mid (%),cloud_cover_high (%),is_day ()
2020-01-01T00:00,3.3,-0.1,0.00,44,49,0,0,0
2020-01-01T01:00,2.8,-0.6,0.00,17,19,0,0,0
2020-01-01T02:00,2.5,-1.0,0.00,10,11,0,0,0
2020-01-01T03:00,1.9,-1.6,0.00,3,3,0,0,0
2020-01-01T04:00,1.4,-2.2,0.00,0,0,0,0,0
2020-01-01T05:00,0.8,-2.6,0.00,0,0,0,0,0
2020-01-01T06:00,0.3,-3.0,0.00,0,0,0,0,0
2020-01-01T07:00,0.5,-2.7,0.00,0,0,0,0,0
2020-01-01T08:00,0.2,-3.3,0.00,0,0,0,0,1
2020-01-01T09:00,0.7,-3.0,0.00,0,0,0,0,1
2020-01-01T10:00,1.9,-1.5,0.00,10,11,0,0,1
2020-01-01T11:00,3.0,-0.4,0.00,33,36,0,1,1
2020-01-01T12:00,3.7,0.2,0.00,90,100,0,0,1
2020-01-01T13:00,4.1,0.5,0.00,90,100,0,0,1
2020-01-01T14:00,4.1,0.5,0.00,90,100,0,0,1
2020-01-01T15:00,3.7,0.4,0.00,90,100,0,1,1
2020-01-01T16:00,3.1,-0.1,0.00,92,100,0,6,0
2020-01-01T17:00,3.0,-0.5,0.00,92,100,0,6,0
2020-01-01T18:00,2.8,-0.7,0.00,92,100,0,7,0
2020-01-01T19:00,2.3,-1.6,0.00,92,100,0,8,0
2020-01-01T20:00,2.3,-1.4,0.00,90,100,0,0,0
2020-01-01T21:00,2.4,-1.0,0.00,90,100,0,0,0
2020-01-01T22:00,2.5,-0.3,0.00,90,100,0,0,0
2020-01-01T23:00,2.6,-0.3,0.00,90,100,0,0,0
2020-01-02T00:00,2.6,-0.3,0.00,90,100,0,0,0
2020-01-02T01:00,2.8,-0.3,0.00,90,100,0,0,0
2020-01-02T02:00,3.0,-0.1,0.00,90,100,0,0,0
2020-01-02T03:00,3.2,-0.0,0.00,90,100,0,0,0
2020-01-02T04:00,3.4,0.2,0.00,90,100,0,0,0
2020-01-02T05:00,3.7,0.4,0.00,90,100,0,0,0
2020-01-02T06:00,4.0,0.6,0.00,90,100,0,0,0
2020-01-02T07:00,3.1,-0.5,0.00,90,100,0,0,0
2020-01-02T08:00,3.3,-0.2,0.00,90,100,0,0,1
2020-01-02T09:00,4.0,0.4,0.00,90,100,0,0,1
2020-01-02T10:00,4.6,1.3,0.00,90,100,0,0,1
2020-01-02T11:00,5.3,1.8,0.00,90,100,0,0,1
2020-01-02T12:00,6.0,2.7,0.00,90,100,0,0,1
2020-01-02T13:00,6.6,3.2,0.00,90,100,0,0,1
2020-01-02T14:00,6.7,3.4,0.00,90,100,0,0,1
2020-01-02T15:00,6.8,3.3,0.00,90,100,0,0,1
2020-01-02T16:00,6.8,3.3,0.00,90,100,0,0,0
2020-01-02T17:00,6.9,3.4,0.00,89,99,0,0,0
2020-01-02T18:00,7.2,3.6,0.00,100,100,0,44,0
2020-01-02T19:00,7.2,3.3,0.00,100,98,12,97,0
2020-01-02T20:00,7.5,3.5,0.00,100,89,78,95,0
2020-01-02T21:00,7.8,3.9,0.00,100,97,51,93,0
2020-01-02T22:00,8.1,4.0,0.00,100,100,24,57,0
2020-01-02T23:00,8.3,4.3,0.00,100,99,0,82,0
2020-01-03T00:00,8.6,4.5,0.00,100,99,36,58,0
2020-01-03T01:00,8.7,4.6,0.00,100,100,92,96,0
2020-01-03T02:00,8.6,4.7,0.00,100,100,86,98,0
2020-01-03T03:00,8.5,4.5,0.00,100,100,47,99,0
2020-01-03T04:00,8.4,4.2,0.00,100,100,67,100,0
2020-01-03T05:00,8.5,4.2,0.00,100,100,77,94,0
2020-01-03T06:00,8.7,4.4,0.00,100,100,81,20,0
2020-01-03T07:00,9.4,5.1,0.30,100,98,63,0,0
2020-01-03T08:00,9.5,5.3,0.00,79,66,32,0,1
2020-01-03T09:00,9.7,5.5,0.00,100,89,37,0,1
2020-01-03T10:00,10.2,5.9,0.00,100,100,23,0,1
2020-01-03T11:00,10.3,6.2,0.00,100,100,66,15,1
2020-01-03T12:00,10.1,6.3,0.40,100,100,95,1,1
2020-01-03T13:00,9.9,5.8,0.40,100,100,93,0,1
2020-01-03T14:00,9.3,5.6,0.30,100,100,72,71,1
2020-01-03T15:00,8.5,5.1,0.10,100,100,57,95,1
2020-01-03T16:00,7.9,4.3,0.00,100,100,59,27,0
2020-01-03T17:00,7.4,3.6,0.00,100,95,31,0,0
2020-01-03T18:00,7.1,3.4,0.00,69,74,4,0,0
2020-01-03T19:00,6.8,3.4,0.00,38,42,0,0,0
2020-01-03T20:00,6.0,2.5,0.00,30,28,0,15,0
2020-01-03T21:00,5.5,2.3,0.00,11,9,0,11,0
2020-01-03T22:00,4.6,1.3,0.00,35,6,0,99,0
2020-01-03T23:00,4.2,0.7,0.00,30,1,0,98,0
2020-01-04T00:00,3.9,0.4,0.00,10,7,0,12,0
2020-01-04T01:00,3.8,0.2,0.00,22,25,0,0,0
2020-01-04T02:00,3.9,0.1,0.00,57,39,0,74,0
2020-01-04T03:00,4.1,0.4,0.00,54,37,0,68,0
2020-01-04T04:00,4.2,0.5,0.00,50,33,0,69,0
2020-01-04T05:00,4.1,0.3,0.00,80,56,0,100,0
2020-01-04T06:00,4.0,0.0,0.00,64,52,0,56,0
2020-01-04T07:00,4.1,0.2,0.00,24,25,0,4,0
2020-01-04T08:00,4.1,0.3,0.00,36,23,0,51,1
2020-01-04T09:00,4.6,0.5,0.00,31,21,0,40,1
2020-01-04T10:00,5.6,1.6,0.00,18,11,0,26,1
2020-01-04T11:00,6.6,2.7,0.00,9,10,0,0,1
2020-01-04T12:00,7.3,2.4,0.00,53,59,0,0,1
2020-01-04T13:00,7.6,3.0,0.00,88,98,0,0,1
2020-01-04T14:00,7.4,3.2,0.00,53,58,1,0,1
2020-01-04T15:00,7.3,3.6,0.00,89,98,2,0,1
2020-01-04T16:00,7.1,3.6,0.00,89,99,0,0,0
2020-01-04T17:00,7.1,3.6,0.00,92,99,1,8,0
2020-01-04T18:00,7.1,3.8,0.00,90,99,1,0,0
2020-01-04T19:00,6.9,3.8,0.00,89,99,0,0,0
2020-01-04T20:00,6.8,3.9,0.00,90,100,0,0,0
2020-01-04T21:00,6.5,3.7,0.00,90,100,0,0,0
2020-01-04T22:00,6.3,3.7,0.00,89,99,0,0,0
2020-01-04T23:00,6.1,3.6,0.00,90,98,2,1,0
2020-01-05T00:00,6.1,3.6,0.00,89,99,0,0,0
2020-01-05T01:00,5.9,3.3,0.00,88,98,0,0,0
2020-01-05T02:00,5.5,2.9,0.00,85,94,0,0,0
2020-01-05T03:00,5.1,2.4,0.00,79,88,0,0,0
2020-01-05T04:00,4.5,1.8,0.00,76,80,7,0,0
2020-01-05T05:00,3.9,1.1,0.00,79,84,5,0,0
2020-01-05T06:00,3.4,0.3,0.00,76,85,0,0,0
2020-01-05T07:00,4.7,1.7,0.00,71,79,0,0,0
2020-01-05T08:00,4.7,1.6,0.00,71,79,0,0,1
2020-01-05T09:00,4.9,1.7,0.00,62,69,0,0,1
2020-01-05T10:00,5.8,2.5,0.00,68,76,0,0,1
2020-01-05T11:00,6.5,3.4,0.00,71,79,0,0,1
2020-01-05T12:00,7.4,4.4,0.00,76,84,0,0,1
2020-01-05T13:00,8.0,5.2,0.00,59,66,0,0,1
2020-01-05T14:00,8.1,5.2,0.00,41,46,0,0,1
2020-01-05T15:00,7.8,5.3,0.00,78,87,0,0,1
2020-01-05T16:00,7.1,4.7,0.00,79,88,0,0,0
2020-01-05T17:00,6.6,4.1,0.00,77,86,0,0,0
2020-01-05T18:00,6.5,3.7,0.00,71,75,0,12,0
2020-01-05T19:00,6.2,3.3,0.00,92,99,0,11,0
2020-01-05T20:00,6.0,3.1,0.00,64,67,0,12,0
2020-01-05T21:00,5.9,3.0,0.00,65,72,0,1,0
2020-01-05T22:00,5.8,3.1,0.00,73,81,0,0,0
2020-01-05T23:00,5.9,3.0,0.00,69,77,0,0,0
2020-01-06T00:00,5.8,3.0,0.00,68,75,0,0,0
2020-01-06T01:00,5.8,3.1,0.00,87,97,0,0,0
2020-01-06T02:00,5.7,2.9,0.00,82,91,0,0,0
2020-01-06T03:00,5.5,2.6,0.00,76,85,0,0,0
2020-01-06T04:00,5.5,2.7,0.00,65,72,0,0,0
2020-01-06T05:00,5.3,2.2,0.00,64,71,0,0,0
2020-01-06T06:00,5.0,1.7,0.00,61,68,0,0,0
2020-01-06T07:00,4.6,1.0,0.00,50,55,0,0,0
2020-01-06T08:00,4.1,0.2,0.00,23,26,0,0,1
2020-01-06T09:00,4.1,0.1,0.00,20,22,0,0,1
2020-01-06T10:00,4.6,0.9,0.00,5,6,0,0,1
2020-01-06T11:00,5.6,1.8,0.00,2,2,0,0,1
2020-01-06T12:00,6.6,2.7,0.00,0,0,0,1,1
2020-01-06T13:00,7.3,3.4,0.00,2,0,0,7,1
2020-01-06T14:00,7.5,3.6,0.00,0,0,0,0,1
2020-01-06T15:00,7.1,3.1,0.00,6,0,0,20,1
2020-01-06T16:00,6.2,1.9,0.00,15,0,0,51,0
2020-01-06T17:00,5.7,1.2,0.00,10,1,0,29,0
2020-01-06T18:00,5.3,0.8,0.00,6,1,0,16,0
2020-01-06T19:00,4.9,0.6,0.00,54,32,11,63,0
2020-01-06T20:00,5.1,1.0,0.00,100,88,24,64,0
2020-01-06T21:00,5.7,1.6,0.00,100,99,33,0,0
2020-01-06T22:00,6.4,2.4,0.00,100,96,51,0,0
2020-01-06T23:00,7.1,3.2,0.00,100,100,27,0,0
2020-01-07T00:00,7.8,4.4,0.00,91,100,2,0,0
2020-01-07T01:00,8.2,5.2,0.00,81,90,0,0,0
2020-01-07T02:00,7.4,4.4,0.00,29,32,0,2,0
2020-01-07T03:00,6.3,3.2,0.00,7,8,0,0,0
2020-01-07T04:00,5.7,2.5,0.00,4,4,0,0,0
2020-01-07T05:00,5.1,1.9,0.00,8,3,0,16,0
2020-01-07T06:00,4.6,1.5,0.00,15,1,0,46,0
2020-01-07T07:00,4.4,1.4,0.00,26,0,0,88,0
2020-01-07T08:00,4.3,1.1,0.00,41,7,10,97,1
2020-01-07T09:00,5.1,1.8,0.00,73,14,56,90,1
2020-01-07T10:00,6.3,2.8,0.00,100,100,74,81,1
2020-01-07T11:00,7.7,4.6,0.00,100,100,19,31,1
2020-01-07T12:00,8.9,5.6,0.00,76,78,1,16,1
2020-01-07T13:00,9.3,6.1,0.00,14,15,0,0,1
2020-01-07T14:00,9.3,5.9,0.00,30,27,10,0,1
2020-01-07T15:00,8.8,5.0,0.00,32,19,23,2,1
2020-01-07T16:00,7.9,3.9,0.00,17,13,9,0,0
2020-01-07T17:00,7.3,3.1,0.00,13,6,8,10,0
2020-01-07T18:00,7.3,3.0,0.20,43,15,13,73,0
2020-01-07T19:00,6.8,2.2,0.20,65,43,2,83,0
2020-01-07T20:00,7.2,2.7,0.50,82,86,8,0,0
2020-01-07T21:00,7.9,3.7,0.00,91,100,1,0,0
2020-01-07T22:00,8.6,4.6,0.00,95,100,5,7,0
2020-01-07T23:00,9.3,5.4,0.00,100,100,2,77,0
2020-01-08T00:00,9.9,6.1,0.00,100,100,11,100,0
2020-01-08T01:00,10.4,6.9,0.00,100,100,65,94,0
2020-01-08T02:00,10.9,7.6,0.00,100,100,0,98,0
2020-01-08T03:00,11.3,8.2,0.00,100,100,43,81,0
2020-01-08T04:00,11.5,8.9,0.00,100,100,50,92,0
2020-01-08T05:00,11.6,9.1,0.00,100,100,8,95,0
2020-01-08T06:00,11.7,9.1,0.00,100,100,23,90,0
2020-01-08T07:00,11.6,9.0,0.00,100,100,55,92,0
2020-01-08T08:00,11.5,8.9,0.90,100,100,90,89,1
2020-01-08T09:00,11.5,9.0,0.40,100,100,83,95,1
2020-01-08T10:00,11.5,9.2,0.00,100,100,84,87,1
2020-01-08T11:00,11.6,9.3,0.40,100,100,74,52,1
2020-01-08T12:00,11.6,9.3,0.00,100,100,98,22,1
2020-01-08T13:00,11.7,9.7,0.10,100,100,100,89,1
2020-01-08T14:00,11.5,9.5,0.00,100,100,12,95,1
2020-01-08T15:00,11.3,9.7,0.00,100,99,46,93,1
2020-01-08T16:00,10.9,9.7,0.00,100,73,39,91,0
2020-01-08T17:00,10.6,9.4,0.00,100,70,85,100,0
2020-01-08T18:00,10.4,9.3,0.00,100,61,99,100,0
2020-01-08T19:00,10.3,9.2,0.70,100,67,100,100,0
2020-01-08T20:00,10.2,9.0,0.30,100,79,100,100,0
2020-01-08T21:00,10.2,8.8,0.40,100,93,100,100,0
2020-01-08T22:00,10.3,8.9,0.50,100,100,99,96,0
2020-01-08T23:00,10.4,8.8,0.50,100,100,83,63,0
2020-01-09T00:00,10.5,8.4,0.20,100,100,97,0,0
2020-01-09T01:00,10.7,8.2,0.20,100,100,95,54,0
2020-01-09T02:00,10.8,7.8,0.10,100,100,95,67,0
2020-01-09T03:00,10.9,7.7,0.20,100,100,36,91,0
2020-01-09T04:00,11.0,7.7,0.00,100,99,65,76,0
2020-01-09T05:00,11.0,7.6,0.00,100,99,40,67,0
2020-01-09T06:00,11.1,7.5,0.20,100,96,45,61,0
2020-01-09T07:00,11.6,8.1,0.00,100,100,82,69,0
2020-01-09T08:00,11.7,8.1,0.00,100,100,92,68,1
2020-01-09T09:00,11.8,8.1,0.00,100,100,78,9,1
2020-01-09T10:00,12.1,8.7,0.00,100,100,46,8,1
2020-01-09T11:00,12.4,9.0,0.00,100,100,46,38,1
2020-01-09T12:00,12.6,9.1,0.00,100,100,60,50,1
2020-01-09T13:00,12.6,9.1,0.00,100,100,67,49,1
2020-01-09T14:00,12.6,9.3,0.00,100,100,39,28,1
2020-01-09T15:00,12.3,9.1,0.60,100,100,23,23,1
2020-01-09T16:00,12.1,8.9,0.50,100,100,33,86,0
2020-01-09T17:00,11.8,8.5,0.30,100,100,40,26,0
2020-01-09T18:00,11.6,8.3,0.70,100,100,99,10,0
2020-01-09T19:00,11.8,8.6,0.70,100,100,58,26,0
2020-01-09T20:00,11.7,8.6,0.00,100,98,54,11,0
2020-01-09T21:00,11.4,8.4,0.20,100,59,73,20,0
2020-01-09T22:00,10.7,7.1,0.40,100,96,82,81,0
2020-01-09T23:00,10.2,6.8,0.50,83,45,62,18,0
2020-01-10T00:00,9.2,6.2,0.40,47,14,52,10,0
2020-01-10T01:00,8.6,5.9,0.60,15,4,17,4,0
2020-01-10T02:00,8.2,5.5,0.80,36,16,36,0,0
2020-01-10T03:00,7.8,5.1,0.50,38,19,35,0,0
2020-01-10T04:00,7.8,5.4,0.20,72,43,54,4,0
2020-01-10T05:00,7.8,5.4,0.30,84,71,33,0,0
2020-01-10T06:00,7.6,5.0,0.10,94,100,6,0,0
2020-01-10T07:00,7.5,4.6,0.00,80,87,3,0,0
2020-01-10T08:00,7.2,4.1,0.00,45,50,0,0,1
2020-01-10T09:00,7.4,3.9,0.00,90,99,1,0,1
2020-01-10T10:00,7.8,4.2,0.10,97,95,19,0,1
2020-01-10T11:00,8.3,4.7,0.10,75,71,19,0,1
2020-01-10T12:00,8.5,4.8,0.00,85,87,11,0,1
2020-01-10T13:00,8.5,4.9,0.00,84,93,1,0,1
2020-01-10T14:00,8.3,4.6,0.00,63,69,1,0,1
2020-01-10T15:00,7.9,4.6,0.00,58,65,0,0,1
2020-01-10T16:00,7.1,4.1,0.00,62,69,0,0,0
2020-01-10T17:00,6.2,3.3,0.00,53,59,0,0,0
2020-01-10T18:00,5.5,3.0,0.00,44,49,0,0,0
2020-01-10T19:00,5.4,2.8,0.00,36,40,0,0,0
2020-01-10T20:00,4.7,2.2,0.00,34,38,0,0,0
2020-01-10T21:00,4.2,1.2,0.00,7,8,0,0,0
2020-01-10T22:00,3.9,0.7,0.00,50,55,0,0,0
2020-01-10T23:00,3.9,0.9,0.00,45,50,0,0,0
2020-01-11T00:00,3.8,0.7,0.00,52,58,0,0,0
2020-01-11T01:00,4.1,0.8,0.00,64,51,0,62,0
2020-01-11T02:00,4.1,0.6,0.00,80,60,0,86,0
2020-01-11T03:00,4.3,0.9,0.00,67,43,0,93,0
2020-01-11T04:00,4.5,1.0,0.00,35,8,0,94,0
2020-01-11T05:00,4.5,0.8,0.00,28,0,0,92,0
2020-01-11T06:00,4.2,0.3,0.00,26,0,0,85,0
2020-01-11T07:00,3.5,-0.7,0.00,29,0,0,98,0
2020-01-11T08:00,3.5,-0.9,0.00,33,4,0,98,1
2020-01-11T09:00,3.9,-0.8,0.00,30,0,0,99,1
2020-01-11T10:00,4.8,0.1,0.00,29,0,0,96,1
2020-01-11T11:00,5.7,1.0,0.00,28,0,0,92,1
2020-01-11T12:00,6.5,1.6,0.00,30,1,0,98,1
2020-01-11T13:00,7.0,2.4,0.00,30,1,0,97,1
2020-01-11T14:00,7.2,2.3,0.00,32,5,0,90,1
2020-01-11T15:00,7.2,2.4,0.00,33,8,0,85,1
2020-01-11T16:00,6.8,2.0,0.00,38,13,0,89,1
2020-01-11T17:00,6.6,1.8,0.00,37,12,0,88,0
2020-01-11T18:00,6.4,1.6,0.00,46,29,0,67,0
2020-01-11T19:00,6.1,1.1,0.00,22,12,0,36,0
2020-01-11T20:00,5.9,0.9,0.00,17,13,0,17,0
2020-01-11T21:00,5.7,0.6,0.00,12,11,1,4,0
2020-01-11T22:00,5.5,0.3,0.00,19,7,0,41,0
2020-01-11T23:00,5.2,0.0,0.00,21,1,0,68,0
2020-01-12T00:00,4.9,-0.2,0.00,27,1,0,87,0
2020-01-12T01:00,4.7,-0.4,0.00,23,6,0,58,0
2020-01-12T02:00,4.5,-0.6,0.00,14,2,0,39,0
2020-01-12T03:00,4.3,-0.8,0.00,14,3,0,36,0
2020-01-12T04:00,4.2,-1.1,0.00,19,0,0,64,0
2020-01-12T05:00,4.2,-1.1,0.00,28,10,0,65,0
2020-01-12T06:00,4.3,-1.0,0.00,40,25,0,57,0
2020-01-12T07:00,4.8,-0.6,0.00,40,15,15,59,0
2020-01-12T08:00,5.3,-0.2,0.00,100,64,68,23,1
2020-01-12T09:00,6.1,0.6,0.00,100,99,99,4,1
2020-01-12T10:00,6.8,2.1,0.00,100,100,77,2,1
2020-01-12T11:00,7.7,2.8,0.00,100,100,27,10,1
2020-01-12T12:00,8.8,4.3,0.00,100,100,30,15,1
2020-01-12T13:00,9.9,5.7,0.00,41,31,16,11,1
2020-01-12T14:00,10.6,6.0,0.00,28,22,9,8,1
2020-01-12T15:00,10.4,5.8,0.00,31,25,8,13,1
2020-01-12T16:00,9.6,5.2,0.00,39,31,1,36,1
2020-01-12T17:00,8.9,4.8,0.00,22,24,0,0,0
2020-01-12T18:00,8.1,4.2,0.00,26,19,1,27,0
2020-01-12T19:00,8.0,4.5,0.00,14,7,0,27,0
2020-01-12T20:00,7.5,4.0,0.00,25,2,0,76,0
2020-01-12T21:00,6.8,3.4,0.00,1,1,0,0,0
2020-01-12T22:00,6.3,2.9,0.00,54,11,73,0,0
2020-01-12T23:00,6.1,2.6,0.00,44,7,49,29,0
2020-01-13T00:00,5.9,2.4,0.00,59,4,43,98,0
2020-01-13T01:00,6.0,2.6,0.00,54,3,35,100,0
2020-01-13T02:00,5.9,2.6,0.00,53,9,27,97,0
2020-01-13T03:00,5.8,2.5,0.00,57,11,31,95,0
2020-01-13T04:00,5.6,2.3,0.00,44,11,10,95,0
2020-01-13T05:00,5.4,2.1,0.00,57,21,24,79,0
2020-01-13T06:00,5.0,1.6,0.00,15,7,8,12,0
2020-01-13T07:00,5.3,2.0,0.00,15,16,1,0,0
2020-01-13T08:00,5.3,1.9,0.00,48,50,5,0,1
2020-01-13T09:00,6.0,2.6,0.00,92,100,3,0,1
2020-01-13T10:00,6.9,3.4,0.00,100,100,17,0,1
2020-01-13T11:00,7.6,3.4,0.00,90,99,1,0,1
2020-01-13T12:00,8.0,3.7,0.00,49,48,9,0,1
2020-01-13T13:00,8.0,3.9,0.00,100,89,68,0,1
2020-01-13T14:00,7.9,3.8,0.00,100,99,99,99,1
2020-01-13T15:00,7.8,3.2,0.00,100,79,46,100,1
2020-01-13T16:00,8.1,3.5,0.00,100,100,27,100,1
2020-01-13T17:00,8.6,4.0,0.00,100,91,50,99,0
2020-01-13T18:00,9.0,4.1,0.00,100,100,32,100,0
2020-01-13T19:00,9.4,4.2,0.00,100,97,25,100,0
2020-01-13T20:00,10.0,4.7,0.00,100,97,89,100,0
2020-01-13T21:00,10.3,4.7,0.00,100,100,100,100,0
2020-01-13T22:00,10.4,4.8,0.00,100,100,49,100,0
2020-01-13T23:00,10.4,4.6,0.20,100,99,44,100,0
2020-01-14T00:00,10.1,4.2,0.30,100,77,68,100,0
2020-01-14T01:00,10.0,4.1,0.30,100,55,97,97,0
2020-01-14T02:00,9.9,3.9,0.20,100,99,98,95,0
2020-01-14T03:00,9.6,3.7,0.60,100,97,79,47,0
2020-01-14T04:00,9.4,3.4,0.20,100,97,100,4,0
2020-01-14T05:00,9.6,3.6,0.00,100,99,100,6,0
2020-01-14T06:00,9.7,4.1,0.20,100,100,100,87,0
2020-01-14T07:00,9.9,5.0,0.50,100,100,100,86,0
2020-01-14T08:00,9.9,5.7,0.50,100,100,100,97,1
2020-01-14T09:00,10.0,5.8,0.10,100,100,96,96,1
2020-01-14T10:00,10.3,6.3,0.00,100,100,100,98,1
2020-01-14T11:00,10.7,6.3,0.00,100,100,98,100,1
2020-01-14T12:00,10.7,5.9,0.60,100,100,95,95,1
2020-01-14T13:00,10.8,5.6,0.00,100,98,100,97,1
2020-01-14T14:00,10.9,5.4,0.60,100,34,100,96,1
